name,owner,resource_name,settlement_point,nameplate_mw,energy_capacity_mwh,load_zone,company,duration_hr,duration_class
Catarina (DGR),HEN,CATARINA_BESS,CATARINA_B1,9.9,9.9,south,Hunt Energy Network,1.0,1hr
Cedarvale (DGR),HEN,CEDRVALE_BESS,CEDRVALE_RN,9.9,9.9,west,Hunt Energy Network,1.0,1hr
Cisco,HEN,CISC_BESS,CISC_RN,9.9,10.75,north,Hunt Energy Network,1.09,1hr
Coyote Springs,HEN,COYOTSPR_BESS,COYOTSPR_RN,9.9,9.9,west,Hunt Energy Network,1.0,1hr
Diboll (DGR),HEN,DIBOL_BESS,DIBOL_RN,9.9,9.9,north,Hunt Energy Network,1.0,1hr
Falfurrias,HEN,FALFUR_BESS,FALFUR_RN,9.9,9.9,south,Hunt Energy Network,1.0,1hr
Farmersville (DGR),HEN,FRMRSVLW_BESS,FRMRSVLW_RN,9.9,9.9,north,Hunt Energy Network,1.0,1hr
Faulkner (DGR),HEN,FAULKNER_BESS,FAULKNER_RN,9.9,9.9,west,Hunt Energy Network,1.0,1hr
Fort Duncan,HEN,FTDUNCAN_BESS_GEN,FTDUNCAN_RN,100.0,200.0,south,Hunt Energy Network,2.0,2hr
Garden City East (DGR),HEN,GRDNE_BESS,GRDNE_ESR_RN,9.9,9.9,west,Hunt Energy Network,1.0,1hr
Gomez (DGR),HEN,GOMZ_BESS,GOMZ_RN,9.9,9.9,west,Hunt Energy Network,1.0,1hr
Hamilton (DGR) U1,HEN,HAMILTON_BESS,HAMI_BESS_RN,9.95,9.9,west,Hunt Energy Network,0.99,1hr
Holcomb (DGR),HEN,HOLCOMB_BESS,HOLCOMB_RN1,9.9,9.9,south,Hunt Energy Network,1.0,1hr
Judkins (DGR),HEN,JDKNS_BESS,JDKNS_RN,9.9,9.9,west,Hunt Energy Network,1.0,1hr
Junction (DGR),HEN,JUNCTION_BESS,JUNCTION_RN,9.9,9.9,south,Hunt Energy Network,1.0,1hr
Lonestar,HEN,LONESTAR_BESS,LONESTAR_RN,9.95,9.9,west,Hunt Energy Network,0.99,1hr
Lufkin South (DGR),HEN,LFSTH_BESS,LFSTH_RN,9.9,9.9,north,Hunt Energy Network,1.0,1hr
Mainland (DGR),HEN,MAINLAND_BESS,MAINLAND_RN,9.9,9.9,houston,Hunt Energy Network,1.0,1hr
Mineral Wells East (DGR),HEN,MNWLE_BESS,MNWL_BESS_RN,9.9,9.9,north,Hunt Energy Network,1.0,1hr
Olney (DGR),HEN,OLNEYTN_BESS,OLNEYTN_RN,9.9,9.9,north,Hunt Energy Network,1.0,1hr
Pauline (DGR),HEN,PAULN_BESS,PAULN_RN,9.95,9.9,north,Hunt Energy Network,0.99,1hr
Pavlov,HEN,PAVLOV_BESS,PAVLOV_BT_RN,9.9,9.9,houston,Hunt Energy Network,1.0,1hr
Rattlesnake (DGR),HEN,RTLSNAKE_BESS,RTLSNAKE_BT,9.9,9.9,west,Hunt Energy Network,1.0,1hr
Russek Street,HEN,RUSSEKST_BESS,RUSSEKST_RN,9.9,10.8,west,Hunt Energy Network,1.09,1hr
Saddleback (DGR),HEN,SADLBACK_BESS,SADLBACK_RN,9.9,9.9,west,Hunt Energy Network,1.0,1hr
Sandlake,HEN,SANDLAKE_BESS,SANDLAKE_RN,9.9,9.9,west,Hunt Energy Network,1.0,1hr
Screwbean (DGR),HEN,SBEAN_BESS,SBEAN_BESS,9.9,9.9,west,Hunt Energy Network,1.0,1hr
Toyah Power Station (DGR),HEN,CHERRYCR_BESS,TOYAH_RN,10.4,9.9,west,Hunt Energy Network,0.95,1hr
Tynan,HEN,TYNAN_BESS1,TYNAN_RN,9.9,10.8,south,Hunt Energy Network,1.09,1hr
Val Verde,HEN,MV_VALV4_BESS,MV_VALV4_RN,10.0,10.0,south,Hunt Energy Network,1.0,1hr
Weil Tract,HEN,WEIL_TRC_BESS,WLTC_ESR_RN,9.9,10.8,south,Hunt Energy Network,1.09,1hr
Adlong,PEER,ADL1_BESS1,ADL_RN,60.0,60.0,,Brookfield Renewable,1.0,1hr
Al Pastor,PEER,ALP_BESS_BESS1,ALP_BESS_RN,103.1,145.0,west,UBS Asset Management,1.41,1hr
Alvin (DGR),PEER,ALVIN_UNIT1,ALVIN_RN,10.0,10.0,houston,ENGIE,1.0,1hr
Anchor 1,PEER,ANCHOR_BESS1,ANCHOR_ALL,35.2,54.0,north,Enel North America,1.53,2hr
Anchor 2,PEER,ANCHOR_BESS2,ANCHOR_ALL,36.3,59.0,north,Enel North America,1.63,2hr
Andromeda 1 (SLF),PEER,ANDMDSLR_BESS1,ANDMDSLR_ALL,82.0,164.0,west,IPX Power,2.0,2hr
Andromeda 2 (SLF),PEER,ANDMDSLR_BESS2,ANDMDSLR_ALL,78.0,156.0,west,IPX Power,2.0,2hr
Anemoi,PEER,ANEM_ESS_BESS1,ANEM_ESS_RN,205.0,400.0,south,Plus Power,1.95,2hr
Angelo,PEER,ANG_SLR_BESS1,ANG_ALL,103.0,200.0,west,Apex Clean Energy,1.94,2hr
Angleton,PEER,AE_BESS,AE_RN,9.9,9.9,houston,On.Energy,1.0,1hr
Anole,PEER,ANOL_ESS_BES1,ANOL_ESS_RN,247.1,480.0,north,esVolta,1.94,2hr
Antila,PEER,ANTL_ESS_BES1,ANTL_ESS_ES1,72.38,140.0,south,ENGIE,1.93,2hr
Avila,PEER,AVIL_ESS_BES1,AVIL_ESS_RN,160.0,320.0,west,ENGIE,2.0,2hr
Azure Sky Solar,PEER,AZURE_BESS1,AZURE_RN,77.6,116.0,west,Enel North America,1.49,1hr
Azure Sky Wind,PEER,VORTEX_BESS1,VORT_ALL_RN,121.8,180.0,north,Enel North America,1.48,1hr
BRP Angleton (DGR),PEER,ANGLETON_UNIT1,BRPANGLE_RN,10.0,10.0,houston,ENGIE,1.0,1hr
Bat Cave,PEER,BATCAVE_BES1,BATCAVE_RN,100.5,110.0,south,ENGIE,1.09,1hr
Bay City,PEER,BAY_CITY_BESS,BAYC_BESS_RN,9.9,9.9,houston,SMT Energy,1.0,1hr
Black Springs,PEER,BLACKSPR_UNIT1,BLACKSPR_RN,120.0,290.0,,Brookfield Renewable,2.42,2hr
Blue Jay,PEER,BLUEJAY_BESS1,BLUEJAY_RN,50.0,75.0,north,Enel North America,1.5,2hr
Blue Summit,PEER,BLSUMMIT_BATTERY,BLSMT1_5_A_6,30.0,12.6,west,NextEra Energy Resources,0.42,1hr
BoCo,PEER,BOCO_ESS_ESS1,BOCO_ESS_RN,154.0,300.0,west,Aypa Power,1.95,2hr
Bocanova,PEER,BCNV_ESS_BESS1,BCNV_RN,150.0,300.0,houston,Nightpeak Energy,2.0,2hr
Brazoria (DGR),PEER,BRAZORIA_UNIT1,BRP_BRAZ_RN,10.0,10.0,houston,ENGIE,1.0,1hr
Bright Arrow U1,PEER,BR_ARROW_BESS1,BR_ARROW_ALL,49.3,95.0,north,RWE,1.93,2hr
Bright Arrow U2,PEER,BR_ARROW_BESS2,BR_ARROW_ALL,52.8,101.8,north,RWE,1.93,2hr
Burksol,PEER,BKSL_ESS_BESS1,BKSL_RN,103.0,200.0,west,esVolta,1.94,2hr
Byrd Ranch,PEER,BYRDR_ES_BESS1,BYRDR_ES_ALL,50.0,50.0,houston,GlidePath,1.0,1hr
Cachi,PEER,CACH_ESS_BESS1,CACH_ESS_RN,200.0,400.0,south,ENGIE,2.0,2hr
Callisto 1 Energy Center Unit 1,PEER,CLO_BESS1,CLO_RN,101.5,212.5,houston,Jupiter Power,2.09,2hr
Callisto 1 Energy Center Unit 2,PEER,CLO_BESS2,CLO_RN,101.5,212.5,houston,Jupiter Power,2.09,2hr
Cameron,PEER,CAMWIND_BESS1,CAMWIND_RN,16.4,32.8,south,Apex Clean Energy,2.0,2hr
Carina,PEER,CARN_ESS_BES1,CARN_ESS_RN,150.0,300.0,south,ENGIE,2.0,2hr
Carrizo Springs,PEER,CARRIZO_BESS1,CARRIZO_ESR1,9.9,14.3,,REX Storage Holdings,1.44,1hr
Castle Gap,PEER,CASL_GAP_BATTERY1,CASL_GAP_UN1,9.9,42.0,west,Luminant,4.24,2hr
Century,PEER,CNTRY_BESS1,CNTRY_RN,9.9,19.0,north,Prologis,1.92,2hr
Chillingham,PEER,CHIL_SL1_BESS1,CHIL_SLR,153.93,300.0,south,ENGIE,1.95,2hr
Chisholm,PEER,CHISMGRD_BES1,CHISMGRD_RN,100.0,130.0,north,Eolian,1.3,1hr
Citrus City,PEER,CITRUSCY_BESS1,CITRUSCY_RN,9.9,22.4,south,Prologis,2.26,2hr
Commerce St (DGR),PEER,X4_SWRI,X443ESRN,10.0,10.0,south,CPS Energy,1.0,1hr
Connolly,PEER,CNLY_ESS_BESS_1,CNLY_ESS_RN,125.0,250.0,north,Tesla,2.0,2hr
Continental (DGR),PEER,CONTINEN_BESS1,CONTINEN_RN,9.9,9.9,south,REX Storage Holdings,1.0,1hr
